"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Nível","Cód.","Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Ano"
"MU","1714203","Natividade (TO)","116916.789","174675.262"
"MU","1714302","Nazaré (TO)","45013.429","44084.575"
"MU","1714880","Nova Olinda (TO)","282733.917","264337.210"
"MU","1715002","Nova Rosalândia (TO)","49384.259","55045.829"
"MU","1715101","Novo Acordo (TO)","46483.455","52415.079"
"MU","1715150","Novo Alegre (TO)","27054.358","27361.432"
"MU","1715259","Novo Jardim (TO)","28933.304","29210.061"
"MU","1715507","Oliveira de Fátima (TO)","19655.205","20322.138"
"MU","1715705","Palmeirante (TO)","81983.975","95872.968"
"MU","1715754","Palmeirópolis (TO)","114167.928","118770.191"
